iter	Logloss
0	0.6806184955
1	0.6690228146
2	0.6589820514
3	0.6487768625
4	0.6403584379
5	0.6321817498
6	0.6246981888
7	0.6176917817
8	0.6110651361
9	0.6054639493
10	0.5998009619
11	0.5943183816
12	0.5895527312
13	0.5864843869
14	0.5826343865
15	0.5783010669
16	0.5745389456
17	0.5709535178
18	0.5676940118
19	0.5655680699
20	0.5635429983
21	0.5610839434
22	0.5589355589
23	0.5574097434
24	0.5553914053
25	0.5531946116
26	0.5516466497
27	0.5497291814
28	0.5481548373
29	0.546907227
30	0.5452685366
31	0.5437276176
32	0.5422210198
33	0.5413587091
34	0.5404545703
35	0.5392309725
36	0.5384984534
37	0.5374811256
38	0.5359316603
39	0.5349063925
40	0.5333512026
41	0.5327791425
42	0.5321945576
43	0.5314487819
44	0.530789453
45	0.5302394304
46	0.5297943367
47	0.5293123721
48	0.5288654235
49	0.5284473263
50	0.5279435713
51	0.5274275237
52	0.5270796506
53	0.5258745948
54	0.5256589945
55	0.5251716534
56	0.5248993554
57	0.5244306539
58	0.524203904
59	0.5237136315
60	0.5234107635
61	0.5230856038
62	0.5227320674
63	0.522507511
64	0.5218750247
65	0.5216328952
66	0.5215179506
67	0.5212914603
68	0.5211002302
69	0.5209486008
70	0.5208301466
71	0.5206990674
72	0.5202357338
73	0.5200135389
74	0.5197673081
75	0.5192987204
76	0.5190079381
77	0.5188816524
78	0.5185263133
79	0.518398986
80	0.5181205097
81	0.5177453463
82	0.5175257275
83	0.5172371011
84	0.517093058
85	0.5169032138
86	0.5167269511
87	0.5165250448
88	0.5163543933
89	0.5161358009
90	0.5160733418
91	0.5160029152
92	0.5157909909
93	0.5156329956
94	0.5154979156
95	0.5154372417
96	0.5151987449
97	0.5150372004
98	0.5149173985
99	0.5148328706
100	0.5147217249
101	0.5146023278
102	0.5144209488
103	0.5142954891
104	0.5141475826
105	0.5140717046
106	0.5138959077
107	0.5137421647
108	0.5137197657
109	0.5135712326
110	0.513394093
111	0.513074888
112	0.5129194718
113	0.5127897258
114	0.512610519
115	0.5125454252
116	0.5124156825
117	0.5122495644
118	0.5121144652
119	0.5120373328
120	0.5119003622
121	0.5118073814
122	0.5115812759
123	0.5114894236
124	0.5113984601
125	0.5112719979
126	0.5111130502
127	0.5110339311
128	0.5109677068
129	0.5107983795
130	0.5105016683
131	0.5103644668
132	0.5102657591
133	0.5100796096
134	0.5099551473
135	0.5098467229
136	0.5097656137
137	0.5096970378
138	0.5095344887
139	0.509452242
140	0.5092925721
141	0.5092179005
142	0.5091189848
143	0.5090539537
144	0.5088322485
145	0.5087115755
146	0.5085775563
147	0.5084348536
148	0.5083345544
149	0.5082257608
150	0.5081137052
151	0.5077300814
152	0.5076242432
153	0.5075360742
154	0.5073485236
155	0.5072386443
156	0.5071600202
157	0.507087417
158	0.5070219153
159	0.5069654043
160	0.5068409897
161	0.5067546134
162	0.5066442594
163	0.50655468
164	0.5064479618
165	0.506327997
166	0.5062431426
167	0.506109821
168	0.5060121348
169	0.5059438986
170	0.5058695033
171	0.505739132
172	0.5056330733
173	0.5055676054
174	0.5054963993
175	0.5053416664
176	0.505225408
177	0.5051823667
178	0.5049246101
179	0.5047984698
180	0.5047365938
181	0.504657924
182	0.5045832468
183	0.5045055691
184	0.504427765
185	0.5043599875
186	0.5042822424
187	0.5041940482
188	0.5041340312
189	0.5040452611
190	0.5039501351
191	0.503833143
192	0.5037432975
193	0.5034968802
194	0.5034236783
195	0.5033585488
196	0.5032799682
197	0.5032017841
198	0.5031348112
199	0.5030053893
200	0.5028923629
201	0.5028219889
202	0.5027541593
203	0.5026869022
204	0.5026233022
205	0.5025448119
206	0.5024348092
207	0.5023392817
208	0.5022925408
209	0.5022236936
210	0.5021623958
211	0.5020904973
212	0.5019923062
213	0.501957293
214	0.5018684931
215	0.5018039577
216	0.5017622338
217	0.5016636959
218	0.5015468285
219	0.5014555146
220	0.5013602486
221	0.5012953195
222	0.5012219326
223	0.5011304124
224	0.5010145969
225	0.5009439534
226	0.5008439383
227	0.50079322
228	0.5007040269
229	0.5006108912
230	0.5005588171
231	0.5004788404
232	0.5004117212
233	0.5002627093
234	0.5002038511
235	0.5001225939
236	0.5000259681
237	0.4999735315
238	0.4999028008
239	0.4997883798
240	0.4996965799
241	0.4996446352
242	0.4995631317
243	0.499495553
244	0.4994423579
245	0.4993417662
246	0.4992735518
247	0.4991827576
248	0.4990967849
249	0.4990038669
250	0.4989292022
251	0.4988287358
252	0.498727863
253	0.4986516394
254	0.4986045422
255	0.498351487
256	0.4982890287
257	0.4980784286
258	0.4979317823
259	0.4978088112
260	0.4977011977
261	0.4976501395
262	0.4975564265
263	0.4974778532
264	0.497384308
265	0.4973017711
266	0.4972251123
267	0.4971534728
268	0.4971072349
269	0.4970465476
270	0.4969457056
271	0.4968690511
272	0.4968095724
273	0.4966942139
274	0.4966380964
275	0.4965301339
276	0.4964449729
277	0.4963504702
278	0.4962946668
279	0.4961930809
280	0.4961130615
281	0.4960418992
282	0.4959364331
283	0.4958668719
284	0.4957840043
285	0.4956830682
286	0.4955873058
287	0.4955102031
288	0.4954587218
289	0.4953601414
290	0.4952622692
291	0.495188325
292	0.495092275
293	0.4950158726
294	0.4949132891
295	0.4948357663
296	0.4947377415
297	0.494673207
298	0.494576347
299	0.4945228941
300	0.4944106725
301	0.4943387299
302	0.4942682044
303	0.4941412623
304	0.4940580857
305	0.4939866306
